"code","name","ipo_date","papan_pencatatan","industry"
"FISH","FKS Multi Agro Tbk.","2002-01-18","Pemantauan Khusus","Consumer Non-Cyclicals"
"FITT","Hotel Fitra International Tbk.","2019-06-11","Pengembangan","Consumer Cyclicals"
"FLMC","Falmaco Nonwoven Industri Tbk.","2021-07-08","Akselerasi","Consumer Non-Cyclicals"
"FMII","Fortune Mate Indonesia Tbk","2000-06-30","Pengembangan","Properties & Real Estate"
"FOLK","Multi Garam Utama Tbk.","2023-08-07","Pengembangan","Industrials"
"FOOD","Sentra Food Indonesia Tbk.","2019-01-08","Pengembangan","Consumer Non-Cyclicals"
"FORU","Fortune Indonesia Tbk","2002-01-17","Pengembangan","Consumer Cyclicals"
"FORZ","Forza Land Indonesia Tbk.","2017-04-28","Pemantauan Khusus","Properties & Real Estate"
"FPNI","Lotte Chemical Titan Tbk.","2002-03-21","Pengembangan","Basic Materials"
"FREN","Smartfren Telecom Tbk.","2006-11-29","Pemantauan Khusus","Infrastructure"
"FUJI","Fuji Finance Indonesia Tbk.","2019-07-09","Pengembangan","Financials"
"FUTR","Lini Imaji Kreasi Ekosistem Tb","2023-02-27","Pemantauan Khusus","Consumer Cyclicals"
"FWCT","Wijaya Cahaya Timber Tbk.","2023-02-01","Pengembangan","Basic Materials"
"GAMA","Aksara Global Development Tbk.","2012-07-11","Pemantauan Khusus","Properties & Real Estate"
"GDST","Gunawan Dianjaya Steel Tbk.","2009-12-23","Pengembangan","Basic Materials"
"GDYR","Goodyear Indonesia Tbk.","1980-12-22","Pengembangan","Consumer Cyclicals"
"GEMA","Gema Grahasarana Tbk.","2002-08-12","Pengembangan","Consumer Cyclicals"
"GEMS","Golden Energy Mines Tbk.","2011-11-17","Utama","Energy"
"GGRM","Gudang Garam Tbk.","1990-08-27","Utama","Consumer Non-Cyclicals"
"GGRP","Gunung Raja Paksi Tbk.","2019-09-19","Pemantauan Khusus","Basic Materials"
"GHON","Gihon Telekomunikasi Indonesia","2018-04-09","Pengembangan","Infrastructure"
"GIAA","Garuda Indonesia (Persero) Tbk","2011-02-11","Pemantauan Khusus","Transportation & Logistics"
"GJTL","Gajah Tunggal Tbk.","1990-05-08","Utama","Consumer Cyclicals"
"GLOB","Globe Kita Terang Tbk.","2012-07-10","Pemantauan Khusus","Consumer Cyclicals"
"GLVA","Galva Technologies Tbk.","2019-12-23","Pengembangan","Technology"
"GMFI","Garuda Maintenance Facility Ae","2017-10-10","Pemantauan Khusus","Infrastructure"
"GMTD","Gowa Makassar Tourism Developm","2000-12-11","Pengembangan","Properties & Real Estate"
"GOLD","Visi Telekomunikasi Infrastruk","2010-07-07","Pengembangan","Infrastructure"
"GOLF","Intra Golflink Resorts Tbk.","2024-07-08","Utama","Consumer Cyclicals"
"GOLL","Golden Plantation Tbk.","2014-12-23","Pemantauan Khusus","Consumer Non-Cyclicals"
"GOOD","Garudafood Putra Putri Jaya Tb","2018-10-10","Utama","Consumer Non-Cyclicals"
"GOTO","GoTo Gojek Tokopedia Tbk.","2022-04-11","Ekonomi Baru","Technology"
"GPRA","Perdana Gapuraprima Tbk.","2007-10-10","Pengembangan","Properties & Real Estate"
"GPSO","Geoprima Solusi Tbk.","2021-09-06","Pengembangan","Industrials"
"GRIA","Ingria Pratama Capitalindo Tbk","2023-08-08","Pengembangan","Properties & Real Estate"
"GRPH","Griha Putra Persada Tbk.","2024-01-17","Pengembangan","Consumer Cyclicals"
"GRPM","Graha Prima Mentari Tbk.","2023-07-10","Akselerasi","Consumer Non-Cyclicals"
"GSMF","Equity Development Investment","1989-10-23","Pengembangan","Financials"
"GTBO","Garda Tujuh Buana Tbk","2009-07-09","Pengembangan","Energy"
"GTRA","Grahaprima Suksesmandiri Tbk.","2023-03-30","Pengembangan","Transportation & Logistics"
"GTSI","GTS Internasional Tbk.","2021-09-08","Pemantauan Khusus","Energy"
"GULA","Aman Agrindo Tbk.","2022-08-03","Pengembangan","Consumer Non-Cyclicals"
"GUNA","Gunanusa Eramandiri Tbk.","2024-07-09","Pengembangan","Consumer Non-Cyclicals"
"GWSA","Greenwood Sejahtera Tbk.","2011-12-23","Utama","Consumer Cyclicals"
"GZCO","Gozco Plantations Tbk.","2008-05-15","Pengembangan","Consumer Non-Cyclicals"
"HADE","Himalaya Energi Perkasa Tbk.","2004-04-12","Pemantauan Khusus","Infrastructure"
"HAIS","Hasnur Internasional Shipping","2021-09-01","Pengembangan","Transportation & Logistics"
"HAJJ","Arsy Buana Travelindo Tbk.","2023-04-05","Akselerasi","Consumer Cyclicals"
"HALO","Haloni Jane Tbk.","2023-02-08","Pengembangan","Healthcare"
"HATM","Habco Trans Maritima Tbk.","2022-07-26","Utama","Transportation & Logistics"
"HBAT","Minahasa Membangun Hebat Tbk.","2023-08-07","Akselerasi","Properties & Real Estate"
"HDFA","Radana Bhaskara Finance Tbk.","2011-05-10","Pengembangan","Financials"
"HDIT","Hensel Davest Indonesia Tbk.","2019-07-12","Pemantauan Khusus","Technology"
"HDTX","Panasia Indo Resources Tbk.","1990-06-06","Pemantauan Khusus","Consumer Cyclicals"
"HEAL","Medikaloka Hermina Tbk.","2018-05-16","Utama","Healthcare"
"HELI","Jaya Trishindo Tbk.","2018-03-27","Pengembangan","Transportation & Logistics"
"HERO","Hero Supermarket Tbk.","1989-08-21","Pengembangan","Consumer Non-Cyclicals"
"HEXA","Hexindo Adiperkasa Tbk.","1995-02-13","Utama","Industrials"
"HILL","Hillcon Tbk.","2023-03-01","Utama","Energy"
"HITS","Humpuss Intermoda Transportasi","1997-12-15","Utama","Energy"
"HKMU","HK Metals Utama Tbk.","2018-10-09","Pemantauan Khusus","Basic Materials"
"HMSP","H.M. Sampoerna Tbk.","1990-08-15","Pengembangan","Consumer Non-Cyclicals"
"HOKI","Buyung Poetra Sembada Tbk.","2017-06-22","Utama","Consumer Non-Cyclicals"
"HOME","Hotel Mandarine Regency Tbk.","2008-07-17","Pemantauan Khusus","Consumer Cyclicals"
"HOMI","Grand House Mulia Tbk.","2020-09-10","Pengembangan","Properties & Real Estate"
"HOPE","Harapan Duta Pertiwi Tbk.","2021-05-24","Pemantauan Khusus","Industrials"
"HOTL","Saraswati Griya Lestari Tbk.","2013-01-10","Pemantauan Khusus","Consumer Cyclicals"
"HRME","Menteng Heritage Realty Tbk.","2019-04-12","Pemantauan Khusus","Consumer Cyclicals"
"HRTA","Hartadinata Abadi Tbk.","2017-06-21","Utama","Consumer Cyclicals"
"HRUM","Harum Energy Tbk.","2010-10-06","Utama","Energy"
"HUMI","Humpuss Maritim Internasional","2023-08-09","Utama","Energy"
"HYGN","Ecocare Indo Pasifik Tbk.","2024-02-13","Pengembangan","Industrials"
"IATA","MNC Energy Investments Tbk.","2006-09-13","Pemantauan Khusus","Energy"
"IBFN","Intan Baru Prana Tbk.","2014-12-22","Pemantauan Khusus","Industrials"
"IBOS","Indo Boga Sukses Tbk.","2022-04-25","Akselerasi","Consumer Non-Cyclicals"
"IBST","Inti Bangun Sejahtera Tbk.","2012-08-31","Pemantauan Khusus","Infrastructure"
"ICBP","Indofood CBP Sukses Makmur Tbk","2010-10-07","Utama","Consumer Non-Cyclicals"
"ICON","Island Conces Indonesia Tbk.","2005-07-08","Pemantauan Khusus","Industrials"
"IDEA","Idea Indonesia Akademi Tbk.","2021-09-09","Akselerasi","Consumer Cyclicals"
"IDPR","Indonesia Pondasi Raya Tbk.","2015-12-10","Pengembangan","Infrastructure"
"IFII","Indonesia Fibreboard Industry","2019-12-10","Pengembangan","Basic Materials"
"IFSH","Ifishdeco Tbk.","2019-12-05","Pengembangan","Basic Materials"
"IGAR","Champion Pacific Indonesia Tbk","1990-11-05","Pengembangan","Basic Materials"
"IIKP","Inti Agri Resources Tbk","2002-10-14","Pemantauan Khusus","Consumer Cyclicals"
"IKAI","Intikeramik Alamasri Industri","1997-06-04","Pemantauan Khusus","Industrials"
"IKAN","Era Mandiri Cemerlang Tbk.","2020-02-12","Pemantauan Khusus","Consumer Non-Cyclicals"
"IKBI","Sumi Indo Kabel Tbk.","1991-01-21","Pengembangan","Industrials"
"IKPM","Ikapharmindo Putramas Tbk.","2023-11-08","Pengembangan","Healthcare"
"IMAS","Indomobil Sukses Internasional","1993-11-15","Utama","Consumer Cyclicals"
"IMJS","Indomobil Multi Jasa Tbk.","2013-12-10","Pengembangan","Transportation & Logistics"
"IMPC","Impack Pratama Industri Tbk.","2014-12-17","Utama","Industrials"
"INAF","Indofarma Tbk.","2001-04-17","Pemantauan Khusus","Healthcare"
"INAI","Indal Aluminium Industry Tbk.","1994-12-05","Pengembangan","Basic Materials"
"INCF","Indo Komoditi Korpora Tbk.","2016-09-06","Pemantauan Khusus","Basic Materials"
"INCI","Intanwijaya Internasional Tbk","1990-07-24","Pengembangan","Basic Materials"
"INCO","Vale Indonesia Tbk.","1990-05-16","Utama","Basic Materials"
"INDF","Indofood Sukses Makmur Tbk.","1994-07-14","Utama","Consumer Non-Cyclicals"
"INDO","Royalindo Investa Wijaya Tbk.","2020-01-13","Pengembangan","Properties & Real Estate"
"INDR","Indo-Rama Synthetics Tbk.","1990-08-03","Pengembangan","Consumer Cyclicals"
"INDS","Indospring Tbk.","1990-08-10","Pengembangan","Consumer Cyclicals"
"INDX","Tanah Laut Tbk","2001-05-17","Pengembangan","Industrials"
"INDY","Indika Energy Tbk.","2008-06-11","Utama","Energy"
"INET","Sinergi Inti Andalan Prima Tbk","2023-07-24","Pengembangan","Infrastructure"
"INKP","Indah Kiat Pulp & Paper Tbk.","1990-07-16","Utama","Basic Materials"
"INOV","Inocycle Technology Group Tbk.","2019-07-10","Pengembangan","Consumer Cyclicals"
"INPC","Bank Artha Graha Internasional","1990-08-23","Utama","Financials"
"INPP","Indonesian Paradise Property T","2004-01-12","Pengembangan","Properties & Real Estate"
"INPS","Indah Prakasa Sentosa Tbk.","2018-04-06","Pengembangan","Energy"
"INRU","Toba Pulp Lestari Tbk.","1990-06-18","Pengembangan","Basic Materials"
"INTA","Intraco Penta Tbk.","1993-08-23","Pemantauan Khusus","Industrials"
"INTD","Inter Delta Tbk","1989-12-18","Pengembangan","Basic Materials"
"INTP","Indocement Tunggal Prakarsa Tb","1989-12-05","Utama","Basic Materials"
"IOTF","Sumber Sinergi Makmur Tbk.","2023-10-06","Pengembangan","Technology"
"IPAC","Era Graharealty Tbk.","2021-06-30","Akselerasi","Properties & Real Estate"
"IPCC","Indonesia Kendaraan Terminal T","2018-07-09","Utama","Infrastructure"
"IPCM","Jasa Armada Indonesia Tbk.","2017-12-22","Pengembangan","Infrastructure"
"IPOL","Indopoly Swakarsa Industry Tbk","2010-07-09","Pengembangan","Basic Materials"
"IPPE","Indo Pureco Pratama Tbk.","2021-12-09","Pemantauan Khusus","Consumer Non-Cyclicals"
"IRRA","Itama Ranoraya Tbk.","2019-10-15","Pengembangan","Healthcare"
"IRSX","Aviana Sinar Abadi Tbk.","2023-02-07","Pemantauan Khusus","Technology"
"PTIS","Indo Straits Tbk.","2011-07-12","Pengembangan","Energy"
"ISAP","Isra Presisi Indonesia Tbk.","2022-12-09","Akselerasi","Consumer Cyclicals"
"ISAT","Indosat Tbk.","1994-10-19","Utama","Infrastructure"
"ISEA","Indo American Seafoods Tbk.","2024-07-08","Pengembangan","Consumer Non-Cyclicals"
"ISSP","Steel Pipe Industry of Indones","2013-02-22","Utama","Basic Materials"
"ITIC","Indonesian Tobacco Tbk.","2019-07-04","Pengembangan","Consumer Non-Cyclicals"
"ITMA","Sumber Energi Andalan Tbk.","1990-12-10","Pengembangan","Energy"
"ITMG","Indo Tambangraya Megah Tbk.","2007-12-18","Utama","Energy"
"IPTV","MNC Vision Networks Tbk.","2019-07-08","Pemantauan Khusus","Consumer Cyclicals"
"JARR","Jhonlin Agro Raya Tbk.","2022-08-04","Utama","Consumer Non-Cyclicals"
"JAST","Jasnita Telekomindo Tbk.","2019-05-16","Pemantauan Khusus","Infrastructure"
"JATI","Informasi Teknologi Indonesia","2023-05-08","Pengembangan","Technology"
"JAWA","Jaya Agra Wattie Tbk.","2011-05-30","Pengembangan","Consumer Non-Cyclicals"
"JAYA","Armada Berjaya Trans Tbk.","2019-02-21","Pengembangan","Transportation & Logistics"
"JECC","Jembo Cable Company Tbk.","1992-11-18","Pengembangan","Industrials"
"JGLE","Graha Andrasentra Propertindo","2016-06-29","Pemantauan Khusus","Consumer Cyclicals"
"JIHD","Jakarta International Hotels &","1984-02-29","Pemantauan Khusus","Consumer Cyclicals"
"JKON","Jaya Konstruksi Manggala Prata","2007-12-04","Utama","Infrastructure"
"JKSW","Jakarta Kyoei Steel Works Tbk.","1997-08-06","Pemantauan Khusus","Basic Materials"
"JMAS","Asuransi Jiwa Syariah Jasa Mit","2017-12-18","Pengembangan","Financials"
"JPFA","Japfa Comfeed Indonesia Tbk.","1989-10-23","Utama","Consumer Non-Cyclicals"
"JRPT","Jaya Real Property Tbk.","1994-06-29","Pengembangan","Properties & Real Estate"
"JSPT","Jakarta Setiabudi Internasiona","1998-01-12","Pengembangan","Consumer Cyclicals"
"JSKY","Sky Energy Indonesia Tbk.","2018-03-28","Pemantauan Khusus","Energy"
"JSMR","Jasa Marga (Persero) Tbk.","2007-11-12","Utama","Infrastructure"
"JTPE","Jasuindo Tiga Perkasa Tbk.","2002-04-16","Utama","Industrials"
"KAEF","Kimia Farma Tbk.","2001-07-04","Pengembangan","Healthcare"
"KARW","Meratus Jasa Prima Tbk.","1994-12-20","Pemantauan Khusus","Infrastructure"
"KAYU","Darmi Bersaudara Tbk.","2019-07-04","Pemantauan Khusus","Basic Materials"
"KBAG","Karya Bersama Anugerah Tbk.","2020-04-08","Pemantauan Khusus","Properties & Real Estate"
"KBLI","KMI Wire & Cable Tbk.","1992-07-06","Utama","Industrials"
"KBLM","Kabelindo Murni Tbk.","1992-06-01","Pengembangan","Industrials"
"KBLV","First Media Tbk.","2000-02-25","Pemantauan Khusus","Infrastructure"
"KBRI","Kertas Basuki Rachmat Indonesi","2008-07-11","Pemantauan Khusus","Basic Materials"
"KDSI","Kedawung Setia Industrial Tbk.","1996-07-29","Pengembangan","Basic Materials"
"KDTN","Puri Sentul Permai Tbk.","2022-11-09","Pengembangan","Consumer Cyclicals"
"KEEN","Kencana Energi Lestari Tbk.","2019-09-02","Utama","Infrastructure"
"KEJU","Mulia Boga Raya Tbk.","2019-11-25","Pengembangan","Consumer Non-Cyclicals"
"KETR","Ketrosden Triasmitra Tbk.","2021-01-11","Pengembangan","Infrastructure"
"KIAS","Keramika Indonesia Assosiasi T","1994-12-08","Pemantauan Khusus","Industrials"
"KICI","Kedaung Indah Can Tbk","1993-10-28","Pengembangan","Consumer Cyclicals"
"KIJA","Kawasan Industri Jababeka Tbk.","1995-01-10","Utama","Properties & Real Estate"
"KING","Hoffmen Cleanindo Tbk.","2023-02-16","Akselerasi","Industrials"
"KINO","Kino Indonesia Tbk.","2015-12-11","Pengembangan","Consumer Non-Cyclicals"
"KIOS","Kioson Komersial Indonesia Tbk","2017-10-05","Pengembangan","Technology"
"KJEN","Krida Jaringan Nusantara Tbk.","2019-07-01","Pengembangan","Transportation & Logistics"
"KKES","Kusuma Kemindo Sentosa Tbk.","2022-08-08","Pemantauan Khusus","Basic Materials"
"KKGI","Resource Alam Indonesia Tbk.","1991-07-01","Utama","Energy"
"KLAS","Pelayaran Kurnia Lautan Semest","2023-06-12","Pengembangan","Transportation & Logistics"
"KLBF","Kalbe Farma Tbk.","1991-07-30","Utama","Healthcare"
"KLIN","Klinko Karya Imaji Tbk.","2022-08-09","Pemantauan Khusus","Consumer Cyclicals"
"KMDS","Kurniamitra Duta Sentosa Tbk.","2020-09-07","Pengembangan","Consumer Non-Cyclicals"
"KMTR","Kirana Megatara Tbk.","2017-06-19","Pengembangan","Basic Materials"
"KOBX","Kobexindo Tractors Tbk.","2012-07-05","Pengembangan","Industrials"
"KOCI","Kokoh Exa Nusantara Tbk.","2023-10-07","Pengembangan","Properties & Real Estate"
"KOIN","Kokoh Inti Arebama Tbk","2008-04-09","Pemantauan Khusus","Industrials"
"KOKA","Koka Indonesia Tbk.","2023-10-11","Pengembangan","Infrastructure"
"KONI","Perdana Bangun Pusaka Tbk","1995-08-22","Pemantauan Khusus","Industrials"
"KOPI","Mitra Energi Persada Tbk.","2015-05-04","Pengembangan","Energy"
"KOTA","DMS Propertindo Tbk.","2019-07-09","Pemantauan Khusus","Consumer Cyclicals"
"KPAL","Steadfast Marine Tbk.","2018-06-08","Pemantauan Khusus","Industrials"
"KPAS","Cottonindo Ariesta Tbk.","2018-10-05","Pemantauan Khusus","Consumer Non-Cyclicals"
"KPIG","MNC Land Tbk.","2000-03-30","Pengembangan","Consumer Cyclicals"
"KRAH","Grand Kartech Tbk.","2013-11-08","Pemantauan Khusus","Industrials"
"KRAS","Krakatau Steel (Persero) Tbk.","2010-11-10","Pengembangan","Basic Materials"
"KREN","Quantum Clovera Investama Tbk.","2002-06-28","Pemantauan Khusus","Technology"
"KRYA","Bangun Karya Perkasa Jaya Tbk.","2022-07-25","Pengembangan","Infrastructure"
"KUAS","Ace Oldfields Tbk.","2021-10-25","Pengembangan","Industrials"
"LABA","Green Power Group Tbk.","2021-06-10","Pengembangan","Industrials"
"LABS","UBC Medical Indonesia Tbk.","2024-07-10","Pengembangan","Healthcare"
"LAJU","Jasa Berdikari Logistics Tbk.","2023-01-27","Pengembangan","Transportation & Logistics"
"LAND","Trimitra Propertindo Tbk.","2018-08-23","Pemantauan Khusus","Properties & Real Estate"
"LAPD","Leyand International Tbk.","2001-07-17","Pemantauan Khusus","Consumer Non-Cyclicals"
"LCGP","Eureka Prima Jakarta Tbk.","2007-07-13","Pemantauan Khusus","Properties & Real Estate"
"LCKM","LCK Global Kedaton Tbk.","2018-01-16","Pengembangan","Infrastructure"
"LEAD","Logindo Samudramakmur Tbk.","2013-12-11","Pengembangan","Energy"
"LFLO","Imago Mulia Persada Tbk.","2021-04-07","Akselerasi","Consumer Cyclicals"
"LIFE","MSIG Life Insurance Indonesia","2019-07-09","Pengembangan","Financials"
"LINK","Link Net Tbk.","2014-06-02","Pengembangan","Infrastructure"
"LION","Lion Metal Works Tbk.","1993-08-20","Pemantauan Khusus","Industrials"
"LIVE","Homeco Victoria Makmur Tbk.","2024-02-12","Pengembangan","Consumer Cyclicals"
"LMAS","Limas Indonesia Makmur Tbk","2001-12-28","Pemantauan Khusus","Technology"
"LMAX","Lupromax Pelumas Indonesia Tbk","2023-08-09","Akselerasi","Consumer Cyclicals"
"LMPI","Langgeng Makmur Industri Tbk.","1994-10-17","Pengembangan","Consumer Cyclicals"
"LMSH","Lionmesh Prima Tbk.","1990-06-04","Pemantauan Khusus","Basic Materials"
"LOPI","Logisticsplus International Tb","2023-10-11","Akselerasi","Transportation & Logistics"
"LPCK","Lippo Cikarang Tbk","1997-07-24","Utama","Properties & Real Estate"
"LPGI","Lippo General Insurance Tbk.","1997-07-22","Pemantauan Khusus","Financials"
"LPIN","Multi Prima Sejahtera Tbk","1990-02-05","Pengembangan","Consumer Cyclicals"
"LPKR","Lippo Karawaci Tbk.","1996-06-28","Utama","Properties & Real Estate"
"LPLI","Star Pacific Tbk","1989-10-23","Pengembangan","Properties & Real Estate"
"LPPF","Matahari Department Store Tbk.","1989-10-09","Utama","Consumer Cyclicals"
"LPPS","Lenox Pasifik Investama Tbk.","1994-03-28","Pengembangan","Financials"
"LRNA","Eka Sari Lorena Transport Tbk.","2014-04-15","Pengembangan","Transportation & Logistics"
"LSIP","PP London Sumatra Indonesia Tb","1996-07-05","Utama","Consumer Non-Cyclicals"
"LTLS","Lautan Luas Tbk.","1997-07-21","Utama","Basic Materials"
"LUCK","Sentral Mitra Informatika Tbk.","2018-11-28","Pengembangan","Technology"
"LUCY","Lima Dua Lima Tiga Tbk.","2021-05-05","Akselerasi","Consumer Cyclicals"
"MABA","Marga Abhinaya Abadi Tbk.","2017-06-22","Pemantauan Khusus","Consumer Cyclicals"
"MAGP","Multi Agro Gemilang Plantation","2013-01-16","Pemantauan Khusus","Consumer Non-Cyclicals"
"MAHA","Mandiri Herindo Adiperkasa Tbk","2023-07-25","Utama","Energy"
"MAIN","Malindo Feedmill Tbk.","2006-02-10","Utama","Consumer Non-Cyclicals"
"MAMI","Mas Murni Indonesia Tbk","1994-02-09","Pemantauan Khusus","Consumer Cyclicals"
"MANG","Manggung Polahraya Tbk.","2024-01-11","Akselerasi","Infrastructure"
"MAPA","Map Aktif Adiperkasa Tbk.","2018-07-05","Utama","Consumer Cyclicals"
"MAPB","MAP Boga Adiperkasa Tbk.","2017-06-21","Pemantauan Khusus","Consumer Cyclicals"
"MAPI","Mitra Adiperkasa Tbk.","2004-11-10","Utama","Consumer Cyclicals"
"MARI","Mahaka Radio Integra Tbk.","2016-02-11","Pengembangan","Consumer Cyclicals"
"MARK","Mark Dynamics Indonesia Tbk.","2017-07-12","Utama","Industrials"
"MASA","Multistrada Arah Sarana Tbk.","2005-06-09","Utama","Consumer Cyclicals"
"MASB","Bank Multiarta Sentosa Tbk.","2021-06-30","Pengembangan","Financials"
"MAXI","Maxindo Karya Anugerah Tbk.","2023-06-12","Pengembangan","Consumer Non-Cyclicals"
"MAYA","Bank Mayapada Internasional Tb","1997-08-29","Utama","Financials"
"MBAP","Mitrabara Adiperdana Tbk.","2014-07-10","Pengembangan","Energy"
"MBMA","Merdeka Battery Materials Tbk.","2023-04-18","Pengembangan","Basic Materials"
"MBSS","Mitrabahtera Segara Sejati Tbk","2011-04-06","Utama","Energy"
"MBTO","Martina Berto Tbk.","2011-01-13","Pengembangan","Consumer Non-Cyclicals"
"MCAS","M Cash Integrasi Tbk.","2017-11-01","Utama","Technology"
"MCOL","Prima Andalan Mandiri Tbk.","2021-09-07","Utama","Energy"
"MCOR","Bank China Construction Bank I","2007-07-03","Utama","Financials"
"MDIA","Intermedia Capital Tbk.","2014-04-11","Pemantauan Khusus","Consumer Cyclicals"
"MDKA","Merdeka Copper Gold Tbk.","2015-06-19","Utama","Basic Materials"
"MDKI","Emdeki Utama Tbk.","2017-09-25","Pengembangan","Basic Materials"
"MDLN","Modernland Realty Tbk.","1993-01-18","Utama","Properties & Real Estate"
"MDRN","Modern Internasional Tbk.","1991-07-16","Pemantauan Khusus","Industrials"
"MEDC","Medco Energi Internasional Tbk","1994-10-12","Utama","Energy"
"MEDS","Hetzer Medical Indonesia Tbk.","2022-08-10","Pengembangan","Healthcare"
"MEGA","Bank Mega Tbk.","2000-04-17","Utama","Financials"
"MEJA","Harta Djaya Karya Tbk.","2024-02-12","Akselerasi","Consumer Cyclicals"
"MENN","Menn Teknologi Indonesia Tbk.","2023-04-18","Akselerasi","Technology"
"MERK","Merck Tbk.","1981-07-23","Pengembangan","Healthcare"
"META","Nusantara Infrastructure Tbk.","2001-07-18","Pemantauan Khusus","Infrastructure"
"MFIN","Mandala Multifinance Tbk.","2005-09-06","Utama","Financials"
"MFMI","Multifiling Mitra Indonesia Tb","2010-12-29","Pemantauan Khusus","Industrials"
"MGLV","Panca Anugrah Wisesa Tbk.","2021-06-08","Akselerasi","Consumer Cyclicals"
"MGNA","Magna Investama Mandiri Tbk.","2014-07-08","Pemantauan Khusus","Consumer Cyclicals"
"MGRO","Mahkota Group Tbk.","2018-07-12","Pengembangan","Consumer Non-Cyclicals"
"MHKI","Multi Hanna Kreasindo Tbk.","2024-04-16","Pengembangan","Industrials"
"MICE","Multi Indocitra Tbk.","2005-12-21","Pengembangan","Consumer Cyclicals"
"MIDI","Midi Utama Indonesia Tbk.","2010-11-30","Utama","Consumer Non-Cyclicals"
"MIKA","Mitra Keluarga Karyasehat Tbk.","2015-03-24","Utama","Healthcare"
"MINA","Sanurhasta Mitra Tbk.","2017-04-28","Pemantauan Khusus","Consumer Cyclicals"
"MIRA","Mitra International Resources","1997-01-30","Pemantauan Khusus","Transportation & Logistics"
"MITI","Mitra Investindo Tbk.","1997-07-16","Pengembangan","Transportation & Logistics"
"MKAP","Multikarya Asia Pasifik Raya T","2024-02-12","Pengembangan","Energy"
"MKNT","Mitra Komunikasi Nusantara Tbk","2015-10-26","Pemantauan Khusus","Consumer Cyclicals"
"MKPI","Metropolitan Kentjana Tbk.","2009-07-10","Pengembangan","Properties & Real Estate"
"MKTR","Menthobi Karyatama Raya Tbk.","2022-11-08","Utama","Consumer Non-Cyclicals"
"MLPT","Multipolar Technology Tbk.","2013-07-08","Pengembangan","Technology"
"MLBI","Multi Bintang Indonesia Tbk.","1981-12-15","Utama","Consumer Non-Cyclicals"
"MLIA","Mulia Industrindo Tbk","1994-01-17","Utama","Industrials"
"MLPL","Multipolar Tbk.","1989-11-06","Utama","Consumer Non-Cyclicals"
"MMIX","Multi Medika Internasional Tbk","2022-12-06","Pengembangan","Healthcare"
"MMLP","Mega Manunggal Property Tbk.","2015-06-12","Utama","Properties & Real Estate"
"MNCN","Media Nusantara Citra Tbk.","2007-06-22","Utama","Consumer Cyclicals"
"MOLI","Madusari Murni Indah Tbk.","2018-08-30","Pengembangan","Basic Materials"
"MORA","Mora Telematika Indonesia Tbk.","2022-08-08","Utama","Infrastructure"
"PTMP","Mitra Pack Tbk.","2023-03-06","Pengembangan","Industrials"
"MPIX","Mitra Pedagang Indonesia Tbk.","2024-02-07","Pengembangan","Technology"
"MPMX","Mitra Pinasthika Mustika Tbk.","2013-05-29","Utama","Consumer Cyclicals"
"MPOW","Megapower Makmur Tbk.","2017-07-05","Pengembangan","Infrastructure"
"MPPA","Matahari Putra Prima Tbk.","1992-12-21","Utama","Consumer Non-Cyclicals"
"MPRO","Maha Properti Indonesia Tbk.","2018-10-09","Pengembangan","Properties & Real Estate"
"MPXL","MPX Logistics International Tb","2023-05-09","Pengembangan","Transportation & Logistics"
"PTMR","Master Print Tbk.","2024-10-08","Pengembangan","Basic Materials"
"MRAT","Mustika Ratu Tbk.","1995-07-27","Pengembangan","Consumer Non-Cyclicals"
"MREI","Maskapai Reasuransi Indonesia","1989-09-04","Pengembangan","Financials"
"MSIE","Multisarana Intan Eduka Tbk.","2023-08-10","Akselerasi","Properties & Real Estate"
"MSIN","MNC Digital Entertainment Tbk.","2018-06-08","Utama","Consumer Cyclicals"
"MSJA","Multi Spunindo Jaya Tbk.","2024-01-10","Utama","Consumer Non-Cyclicals"
"MSKY","MNC Sky Vision Tbk.","2012-07-09","Pengembangan","Consumer Cyclicals"
"MSTI","Mastersystem Infotama Tbk.","2023-11-08","Utama","Technology"
"MTDL","Metrodata Electronics Tbk.","1990-04-09","Utama","Technology"
"MTEL","Dayamitra Telekomunikasi Tbk.","2021-11-22","Utama","Infrastructure"
"MTFN","Capitalinc Investment Tbk.","1990-04-16","Pemantauan Khusus","Energy"
"MTLA","Metropolitan Land Tbk.","2011-06-20","Utama","Properties & Real Estate"
"MTMH","Murni Sadar Tbk.","2022-04-20","Utama","Healthcare"
"MTPS","Meta Epsi Tbk.","2019-04-10","Pemantauan Khusus","Infrastructure"
"MTRA","Mitra Pemuda Tbk.","2016-02-10","Pemantauan Khusus","Infrastructure"
"MTSM","Metro Realty Tbk.","1992-01-08","Pemantauan Khusus","Properties & Real Estate"
"MTWI","Malacca Trust Wuwungan Insuran","2017-10-12","Pengembangan","Financials"
"MUTU","Mutuagung Lestari Tbk.","2023-08-09","Pengembangan","Industrials"
"MYOH","Samindo Resources Tbk.","2000-07-27","Utama","Energy"
"MYOR","Mayora Indah Tbk.","1990-07-04","Utama","Consumer Non-Cyclicals"
"MYRX","Hanson International Tbk.","1990-10-31","Pemantauan Khusus","Properties & Real Estate"
"MYTX","Asia Pacific Investama Tbk.","1989-10-10","Pemantauan Khusus","Consumer Cyclicals"
"NAIK","Adiwarna Anugerah Abadi Tbk.","2024-11-13","Pengembangan","Industrials"
