"code","name","ipo_date","papan_pencatatan","industry"
"ASSA","Adi Sarana Armada Tbk.","2012-11-12","Utama","Transportation & Logistics"
"ATAP","Trimitra Prawara Goldland Tbk.","2020-12-11","Pemantauan Khusus","Properties & Real Estate"
"ATIC","Anabatic Technologies Tbk.","2015-07-08","Pengembangan","Technology"
"ATLA","Atlantis Subsea Indonesia Tbk.","2024-04-16","Pengembangan","Energy"
"AUTO","Astra Otoparts Tbk.","1998-06-15","Utama","Consumer Cyclicals"
"AVIA","Avia Avian Tbk.","2021-12-08","Utama","Basic Materials"
"AWAN","Era Digital Media Tbk.","2023-04-18","Pengembangan","Technology"
"AXIO","Tera Data Indonusa Tbk.","2022-07-20","Utama","Technology"
"AYAM","Janu Putra Sejahtera Tbk.","2023-11-30","Pengembangan","Consumer Non-Cyclicals"
"AYLS","Agro Yasa Lestari Tbk.","2020-02-12","Pengembangan","Basic Materials"
"PTBA","Bukit Asam Tbk.","2002-12-23","Utama","Energy"
"BABP","Bank MNC Internasional Tbk.","2002-07-15","Pengembangan","Financials"
"BABY","Multitrend Indo Tbk.","2023-09-07","Pengembangan","Consumer Cyclicals"
"BACA","Bank Capital Indonesia Tbk.","2007-10-04","Utama","Financials"
"BAIK","Bersama Mencapai Puncak Tbk.","2024-02-15","Pengembangan","Consumer Cyclicals"
"BAJA","Saranacentral Bajatama Tbk.","2011-12-21","Pengembangan","Basic Materials"
"BALI","Bali Towerindo Sentra Tbk.","2014-03-13","Utama","Infrastructure"
"BANK","Bank Aladin Syariah Tbk.","2021-02-01","Utama","Financials"
"BAPA","Bekasi Asri Pemula Tbk.","2008-01-14","Pengembangan","Properties & Real Estate"
"BAPI","Bhakti Agung Propertindo Tbk.","2019-09-16","Pemantauan Khusus","Properties & Real Estate"
"BATA","Sepatu Bata Tbk.","1982-03-24","Pengembangan","Consumer Cyclicals"
"BATR","Benteng Api Technic Tbk.","2024-06-10","Pengembangan","Basic Materials"
"BAUT","Mitra Angkasa Sejahtera Tbk.","2022-01-28","Pemantauan Khusus","Consumer Cyclicals"
"BAYU","Bayu Buana Tbk","1989-10-30","Pengembangan","Consumer Cyclicals"
"BBCA","Bank Central Asia Tbk.","2000-05-31","Utama","Financials"
"BBHI","Allo Bank Indonesia Tbk.","2015-08-12","Utama","Financials"
"BBKP","Bank KB Bukopin Tbk.","2006-07-10","Utama","Financials"
"BBLD","Buana Finance Tbk.","1990-05-07","Pengembangan","Financials"
"BBMD","Bank Mestika Dharma Tbk.","2013-07-08","Pengembangan","Financials"
"BBNI","Bank Negara Indonesia (Persero) Tbk.","1996-11-25","Utama","Financials"
"BBRI","Bank Rakyat Indonesia (Persero) Tbk.","2003-11-10","Utama","Financials"
"BBRM","Pelayaran Nasional Bina Buana","2013-01-09","Pengembangan","Energy"
"BBSI","Krom Bank Indonesia Tbk.","2020-09-07","Pengembangan","Financials"
"BBSS","Bumi Benowo Sukses Sejahtera T","2020-04-15","Pengembangan","Properties & Real Estate"
"BBTN","Bank Tabungan Negara (Persero)","2009-12-17","Utama","Financials"
"BBYB","Bank Neo Commerce Tbk.","2015-01-13","Utama","Financials"
"BCAP","MNC Kapital Indonesia Tbk.","2001-06-08","Utama","Financials"
"BCIC","Bank JTrust Indonesia Tbk.","1997-06-25","Pengembangan","Financials"
"BCIP","Bumi Citra Permai Tbk.","2009-12-11","Pengembangan","Properties & Real Estate"
"BDKR","Berdikari Pondasi Perkasa Tbk.","2023-03-03","Utama","Infrastructure"
"BDMN","Bank Danamon Indonesia Tbk.","1989-12-06","Utama","Financials"
"BEBS","Berkah Beton Sadaya Tbk.","2021-03-10","Pemantauan Khusus","Basic Materials"
"BEEF","Estika Tata Tiara Tbk.","2019-01-10","Pengembangan","Consumer Non-Cyclicals"
"BEER","Jobubu Jarum Minahasa Tbk.","2023-01-06","Pengembangan","Consumer Non-Cyclicals"
"BEKS","Bank Pembangunan Daerah Banten","2001-07-13","Pemantauan Khusus","Financials"
