accounts,2024,2023,2022,2021,2020,code
Net Income,54836305000000.0,48639122000000.0,40735722000000.0,31422660000000.0,,BBCA.JK
Minority Interests,-14969000000.0,-18973000000.0,-19850000000.0,-17499000000.0,,BBCA.JK
Net Income Including Noncontrolling Interests,54851274000000.0,48658095000000.0,40755572000000.0,31440159000000.0,,BBCA.JK
Net Income Continuous Operations,54851274000000.0,48658095000000.0,40755572000000.0,31440159000000.0,,BBCA.JK
Tax Provision,13366576000000.0,11521662000000.0,9711461000000.0,7401015000000.0,,BBCA.JK
Pretax Income,68217850000000.0,60179757000000.0,50467033000000.0,38841174000000.0,,BBCA.JK
Special Income Charges,835820000000.0,1210427000000.0,44270000000.0,-22526000000.0,,BBCA.JK
Write Off,-835820000000.0,-1210427000000.0,-44270000000.0,22526000000.0,,BBCA.JK
Gain On Sale Of Security,1709301000000.0,1345430000000.0,-1051603000000.0,1497276000000.0,,BBCA.JK
Operating Expense,40306153000000.0,39503700000000.0,34541198000000.0,32057417000000.0,,BBCA.JK
Other Operating Expenses,4031835000000.0,4133051000000.0,3626962000000.0,3538575000000.0,,BBCA.JK
Depreciation And Amortization In Income Statement,2167549000000.0,3211483000000.0,2662190000000.0,2447189000000.0,,BBCA.JK
Amortization,150095000000.0,276409000000.0,284770000000.0,309082000000.0,,BBCA.JK
Depreciation Income Statement,2017454000000.0,2935074000000.0,2377420000000.0,2138107000000.0,,BBCA.JK
Selling General And Administration,13202749000000.0,12653813000000.0,11360112000000.0,9763657000000.0,,BBCA.JK
Selling And Marketing Expense,1657278000000.0,1630166000000.0,1318563000000.0,964487000000.0,,BBCA.JK
General And Administrative Expense,11545471000000.0,11023647000000.0,10041549000000.0,8799170000000.0,,BBCA.JK
Insurance And Claims,2316425000000.0,2277722000000.0,2118061000000.0,1804493000000.0,,BBCA.JK
Rent And Landing Fees,1143353000000.0,1029820000000.0,1122415000000.0,1016376000000.0,,BBCA.JK
Total Revenue,110550386000000.0,100485975000000.0,89523508000000.0,80139976000000.0,,BBCA.JK
Operating Revenue,110550386000000.0,100485975000000.0,89523508000000.0,80139976000000.0,,BBCA.JK
