accounts,2024_4,2023_4,2022_4,2021_4,2020_4,code
Dividends Received Cfi,38095000000.0,34528000000.0,46530000000.0,10034000000.0,,BBCA.JK
Net Investment Purchase And Sale,-54819800000000.0,-64702324000000.0,-29079830000000.0,-37967449000000.0,,BBCA.JK
Sale Of Investment,161277418000000.0,97922788000000.0,107160907000000.0,90157836000000.0,,BBCA.JK
Purchase Of Investment,-216097218000000.0,-162625112000000.0,-136240737000000.0,-128125285000000.0,,BBCA.JK
Net Business Purchase And Sale,,,,0.0,-303726000000.0,BBCA.JK
Purchase Of Business,,,,0.0,-303726000000.0,BBCA.JK
Net PPE Purchase And Sale,-4166801000000.0,-5077262000000.0,-3349686000000.0,-3290443000000.0,,BBCA.JK
Sale Of PPE,6378000000.0,22086000000.0,5320000000.0,15009000000.0,,BBCA.JK
Purchase Of PPE,-4173179000000.0,-5099348000000.0,-3355006000000.0,-3305452000000.0,,BBCA.JK
Operating Cash Flow,53820229000000.0,58063775000000.0,33779263000000.0,126186318000000.0,,BBCA.JK
Cash Flowsfromusedin Operating Activities Direct,53820229000000.0,58063775000000.0,33779263000000.0,126186318000000.0,,BBCA.JK
Classesof Cash Payments,-193918782000000.0,-190633520000000.0,-137618243000000.0,-109445797000000.0,,BBCA.JK
Other Cash Paymentsfrom Operating Activities,-46656367000000.0,-62760067000000.0,-34272471000000.0,-30210904000000.0,,BBCA.JK
Paymentson Behalfof Employees,-1930422000000.0,-1029720000000.0,-855848000000.0,-2461267000000.0,,BBCA.JK
Classesof Cash Receiptsfrom Operating Activities,247739011000000.0,248697295000000.0,171397506000000.0,235632115000000.0,,BBCA.JK
Other Cash Receiptsfrom Operating Activities,15854737000000.0,15938749000000.0,14628211000000.0,12729075000000.0,,BBCA.JK
