Open,High,Low,Close,Volume,Dividends,Stock Splits,code
6704.23095703125,6727.2861328125,6669.23583984375,6687.0009765625,181504900,0.0,0.0,JKSE
6687.28076171875,6708.3671875,6617.23681640625,6681.10205078125,164801800,0.0,0.0,JKSE
6681.10205078125,6700.23779296875,6636.4228515625,6636.4228515625,173775000,0.0,0.0,JKSE
6636.4228515625,6657.64990234375,6562.955078125,6633.26123046875,615071900,0.0,0.0,JKSE
6633.26123046875,6663.71484375,6598.509765625,6633.43701171875,152714500,0.0,0.0,JKSE
6633.43701171875,6677.56787109375,6602.00390625,6618.9228515625,231838500,0.0,0.0,JKSE
6619.06298828125,6638.5810546875,6578.755859375,6619.7548828125,162881000,0.0,0.0,JKSE
6619.7548828125,6666.330078125,6598.419921875,6666.330078125,168616600,0.0,0.0,JKSE
6666.0498046875,6703.82421875,6648.958984375,6694.02392578125,182769600,0.0,0.0,JKSE
6694.583984375,6722.373046875,6670.52197265625,6722.373046875,158712000,0.0,0.0,JKSE
6722.373046875,6744.0380859375,6697.07080078125,6719.01416015625,176568000,0.0,0.0,JKSE
6718.8740234375,6744.64404296875,6672.85595703125,6699.716796875,178279800,0.0,0.0,JKSE
6699.716796875,6717.4560546875,6660.9091796875,6713.794921875,151187300,0.0,0.0,JKSE
6713.51513671875,6726.4560546875,6669.3359375,6698.546875,172061800,0.0,0.0,JKSE
6698.546875,6705.0380859375,6669.0498046875,6686.05908203125,161424500,0.0,0.0,JKSE
6686.05908203125,6692.44091796875,6626.14892578125,6660.455078125,118276600,0.0,0.0,JKSE
6660.455078125,6702.625,6635.673828125,6702.625,120273100,0.0,0.0,JKSE
6702.76513671875,6717.97607421875,6652.26123046875,6652.26123046875,168533600,0.0,0.0,JKSE
6652.26123046875,6665.6630859375,6635.48193359375,6639.73291015625,113447100,0.0,0.0,JKSE
6639.73291015625,6674.06005859375,6622.18408203125,6664.66796875,126037100,0.0,0.0,JKSE
6664.66796875,6679.6259765625,6652.90380859375,6661.87890625,142328900,0.0,0.0,JKSE
6661.73583984375,6696.7158203125,6660.82421875,6696.7158203125,125551000,0.0,0.0,JKSE
6696.85888671875,6713.9931640625,6672.77392578125,6681.75390625,146273000,0.0,0.0,JKSE
6681.75390625,6719.05615234375,6676.93408203125,6718.97705078125,148911000,0.0,0.0,JKSE
6718.26318359375,6766.27294921875,6712.07421875,6757.3310546875,179543000,0.0,0.0,JKSE
6757.0478515625,6757.0478515625,6711.22314453125,6716.458984375,158332900,0.0,0.0,JKSE
6716.458984375,6763.5458984375,6716.458984375,6731.0380859375,123617000,0.0,0.0,JKSE
6731.18017578125,6796.923828125,6730.6298828125,6796.923828125,160428000,0.0,0.0,JKSE
6796.923828125,6820.17919921875,6785.85595703125,6808.208984375,161722800,0.0,0.0,JKSE
6808.35107421875,6835.73779296875,6783.7412109375,6810.212890625,171443900,0.0,0.0,JKSE
6810.212890625,6874.77587890625,6810.212890625,6869.57177734375,160702800,0.0,0.0,JKSE
6869.712890625,6931.27197265625,6867.14404296875,6867.14404296875,176805700,0.0,0.0,JKSE
6867.14404296875,6902.14306640625,6798.43212890625,6830.203125,150363000,0.0,0.0,JKSE
6830.06103515625,6874.89208984375,6827.9990234375,6864.18896484375,142032500,0.0,0.0,JKSE
6864.18896484375,6880.8017578125,6837.64599609375,6880.8017578125,131640100,0.0,0.0,JKSE
6880.8017578125,6929.68408203125,6877.9482421875,6899.39599609375,150084400,0.0,0.0,JKSE
6897.97802734375,6944.6201171875,6897.97802734375,6917.7109375,150504400,0.0,0.0,JKSE
6917.7109375,6955.97509765625,6917.4072265625,6948.27880859375,149683800,0.0,0.0,JKSE
6948.27880859375,6966.1669921875,6896.6630859375,6896.6630859375,158624100,0.0,0.0,JKSE
6896.80517578125,6904.10498046875,6857.3681640625,6900.22998046875,146686100,0.0,0.0,JKSE
6900.22998046875,6931.35888671875,6895.0732421875,6931.35888671875,171457600,0.0,0.0,JKSE
6931.0751953125,6934.38720703125,6880.466796875,6886.49609375,196062700,0.0,0.0,JKSE
6886.49609375,6886.49609375,6833.97998046875,6854.509765625,183858400,0.0,0.0,JKSE
6854.509765625,6924.05322265625,6839.7431640625,6898.0771484375,163613400,0.0,0.0,JKSE
6898.21923828125,6925.01416015625,6850.89990234375,6852.841796875,118791000,0.0,0.0,JKSE
6852.841796875,6904.35595703125,6852.841796875,6886.3662109375,134540800,0.0,0.0,JKSE
6886.5068359375,6915.05078125,6861.634765625,6868.81298828125,170357400,0.0,0.0,JKSE
6868.81298828125,6901.06005859375,6863.083984375,6875.11181640625,218491200,0.0,0.0,JKSE
6875.11181640625,6910.7548828125,6875.11181640625,6893.27587890625,162734000,0.0,0.0,JKSE
6893.27587890625,6906.64501953125,6865.11181640625,6879.97900390625,130736700,0.0,0.0,JKSE
6879.97900390625,6910.171875,6823.75390625,6910.171875,138804900,0.0,0.0,JKSE
6910.455078125,6928.6298828125,6898.3818359375,6915.10107421875,172760000,0.0,0.0,JKSE
6915.10107421875,6915.10107421875,6855.88818359375,6900.5380859375,152291200,0.0,0.0,JKSE
6899.830078125,6899.830078125,6856.37890625,6859.912109375,130737900,0.0,0.0,JKSE
6860.05322265625,6890.27587890625,6859.4228515625,6866.033203125,207708300,0.0,0.0,JKSE
6866.033203125,6927.4482421875,6860.68896484375,6916.4501953125,158573900,0.0,0.0,JKSE
6916.4501953125,6959.43212890625,6916.4501953125,6921.41015625,170674700,0.0,0.0,JKSE
6921.41015625,6937.64892578125,6898.38818359375,6899.39208984375,142846200,0.0,0.0,JKSE
